customer_number,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS
236,20.34,120.00,113.77,69.54,1.90,0.00,10.20,38.19,115.71,20.76,10.43,0.00,16.48,3.58,0.00,22.28,1.61,21.06,0.00,0.00
244,31.79,0.00,278.48,235.14,0.00,0.00,16.98,80.64,261.67,259.00,216.09,0.00,76.37,5.40,1.27,24.01,16.55,16.18,0.00,10.18
247,15.85,0.00,54.43,77.03,32.54,3.46,2.12,129.59,106.27,183.10,111.41,0.00,7.07,31.17,0.00,2.94,0.00,16.21,0.00,0.00
256,29.32,0.00,82.17,116.49,15.21,0.00,97.70,17.09,117.06,167.12,19.80,0.00,15.18,6.79,6.80,10.85,0.00,13.75,0.00,4.30
257,11.80,0.00,135.91,168.18,2.46,0.00,0.00,1.79,6.73,117.29,42.53,0.00,7.26,5.11,0.00,8.75,0.00,200.58,0.00,3.45
258,31.51,126.57,36.57,24.49,0.00,0.00,0.16,3.32,11.31,26.19,3.40,0.00,27.62,2.52,0.00,5.55,0.00,1.06,0.00,0.00
263,30.57,0.00,59.03,159.10,0.00,0.00,1.92,52.64,132.72,60.77,9.19,68.00,61.15,28.40,0.00,47.47,5.57,0.00,0.00,77.75
269,33.47,0.00,61.97,38.33,30.43,0.00,18.70,28.83,75.79,21.96,13.11,0.00,5.67,0.40,0.00,53.88,1.48,12.28,0.00,42.14
275,3.44,0.00,13.02,48.09,10.66,0.00,27.76,4.43,36.88,18.10,3.38,0.00,5.98,0.65,0.00,4.38,0.00,4.53,0.00,0.00
276,46.59,0.00,65.84,134.28,0.00,0.00,103.95,5.55,47.19,32.02,22.95,0.00,29.90,2.55,6.80,21.44,0.00,2.21,0.00,0.00
277,36.87,0.00,152.30,130.43,0.00,0.00,6.46,19.86,300.69,143.14,33.37,0.00,52.20,3.10,3.22,27.10,32.59,17.17,0.00,9.54
280,3.13,100.00,10.74,5.91,0.00,0.00,0.00,5.97,18.78,22.99,10.72,0.00,6.26,15.41,0.00,17.45,0.00,0.84,0.00,2.39
281,50.63,0.00,207.47,288.74,0.89,0.00,53.84,62.32,101.75,99.11,77.89,0.00,0.50,20.95,2.55,24.60,9.35,33.34,0.00,19.24
283,24.45,0.00,38.43,144.25,8.47,0.00,204.50,3.94,283.59,56.48,56.09,0.00,69.30,5.60,0.00,20.06,10.03,0.33,0.00,2.57
305,32.99,175.00,8.11,10.71,0.00,0.00,0.00,5.89,0.00,6.17,36.44,62.00,2.29,6.95,0.00,0.00,0.00,5.94,18.20,0.00
308,20.01,100.00,34.69,66.05,0.00,0.00,5.10,7.54,75.45,25.04,3.78,0.00,31.71,0.73,0.00,6.65,0.00,2.20,0.00,0.00
309,38.74,10.00,27.88,4.36,0.00,0.00,0.00,48.37,11.45,17.74,67.86,0.00,71.35,0.00,0.00,3.98,0.00,1.57,0.00,0.00
312,13.94,0.00,11.37,39.93,0.00,15.89,82.13,22.47,43.48,63.60,67.67,0.00,31.29,4.15,0.00,45.14,2.97,2.53,0.00,0.00
320,24.94,0.00,45.82,60.65,0.09,0.00,23.92,5.50,33.94,24.74,12.91,0.00,36.32,9.25,0.84,9.18,3.40,29.59,0.00,6.79
324,6.94,0.00,28.70,29.61,0.00,0.00,23.81,7.55,37.02,17.92,9.13,0.00,9.49,0.00,0.00,20.02,0.00,0.76,0.00,1.12
328,8.14,0.00,79.58,70.49,0.00,0.00,0.00,22.14,55.61,80.06,15.77,0.00,30.49,13.10,0.00,34.66,0.00,3.90,0.00,0.00
341,32.67,35.00,151.83,87.04,0.49,0.00,0.00,58.74,95.35,47.31,8.87,0.00,14.08,7.19,6.83,14.43,15.00,0.00,0.00,5.03
342,11.59,0.00,23.15,122.66,0.59,0.00,21.30,37.77,54.09,26.29,6.83,10.00,13.29,5.17,0.00,6.95,0.00,18.31,0.00,0.00
349,40.01,0.00,9.96,69.86,12.50,0.00,0.00,4.37,42.61,84.69,21.54,0.00,146.42,4.00,3.95,65.77,0.00,16.66,0.00,0.00
350,7.61,0.00,38.77,72.79,6.01,0.00,21.49,12.83,84.06,69.30,28.72,0.00,36.69,13.90,7.57,26.86,0.00,16.35,0.00,16.05
352,15.59,0.00,35.69,79.84,3.87,0.00,1.78,34.82,105.56,34.18,33.81,0.00,53.19,2.10,0.00,29.60,0.00,1.44,0.00,34.90
356,15.97,10.00,17.83,44.26,0.00,0.00,51.04,15.06,21.69,11.94,19.52,0.00,14.81,5.74,0.50,9.21,0.00,4.37,0.00,1.19
357,110.22,0.00,457.24,249.80,0.00,0.00,8.50,116.65,214.11,321.97,305.59,0.00,78.71,9.18,0.76,44.21,27.71,51.90,0.00,18.98
359,16.82,0.00,59.15,77.58,7.23,0.00,99.95,41.33,112.70,112.14,27.37,0.00,29.36,5.30,2.55,17.68,6.80,5.77,0.00,3.27
362,7.78,0.00,19.09,275.67,0.00,0.00,0.00,23.73,57.36,155.99,13.76,0.00,1.68,10.75,6.80,1.48,51.63,6.25,0.00,0.72
367,26.95,0.00,133.25,107.47,26.01,4.28,0.00,46.50,130.32,89.51,29.42,0.00,25.74,0.00,0.76,35.40,5.37,25.04,0.00,8.71
368,16.32,0.00,55.83,134.71,48.18,0.00,0.00,10.86,96.94,32.18,13.79,2.00,8.96,3.85,4.07,55.70,17.01,8.36,0.00,8.18
372,17.91,50.00,71.99,101.97,0.00,0.00,52.39,19.58,68.92,75.85,31.81,0.00,27.95,24.54,0.00,18.22,1.52,5.89,0.00,0.20
385,29.40,0.00,83.89,117.65,7.27,0.00,63.39,96.82,123.40,152.44,12.34,0.00,5.38,0.00,1.06,14.05,0.00,1.05,0.00,7.41
386,44.15,20.00,42.86,84.61,0.00,0.00,9.30,6.24,56.75,68.89,65.65,0.00,20.69,0.67,1.61,10.86,0.00,13.75,0.00,0.95
395,1.36,10.00,39.51,19.26,11.50,0.00,61.98,2.04,35.00,32.02,53.12,0.00,39.61,3.40,0.00,14.61,2.97,7.32,0.00,0.00
398,2.99,159.00,14.20,40.75,0.00,0.00,61.64,6.13,0.63,8.80,4.87,66.00,3.45,0.38,0.00,3.78,0.00,2.28,0.00,0.00
401,12.82,16.00,42.16,30.05,0.00,0.00,107.91,6.00,19.43,20.65,17.93,0.00,2.59,3.24,0.00,4.66,0.00,11.65,0.00,20.88
404,31.76,0.00,236.57,196.70,8.71,0.00,26.65,107.60,101.52,154.92,217.14,0.00,99.55,14.87,43.62,134.72,2.67,9.41,0.00,24.86
409,16.47,20.00,15.15,58.19,0.00,0.00,166.56,13.25,45.81,85.48,15.39,0.00,6.85,6.00,0.00,39.07,1.69,0.93,0.00,2.38
412,8.90,0.00,3.34,88.89,7.06,0.00,0.00,2.39,7.18,105.88,32.44,20.00,1.19,0.80,0.00,60.00,0.00,21.47,0.00,0.00
419,12.41,0.00,60.68,95.10,0.00,0.00,0.00,41.34,201.74,80.15,14.49,0.00,39.29,0.50,1.27,21.06,0.00,8.56,0.00,0.00
426,42.48,0.00,99.03,129.20,0.00,0.00,27.19,29.29,46.52,186.82,44.89,0.00,25.31,2.35,0.00,16.01,7.62,22.11,0.00,0.99
427,25.20,0.00,10.94,63.31,0.00,0.00,258.35,63.07,59.80,12.70,6.78,0.00,47.53,0.65,1.27,22.17,2.11,17.58,0.00,0.99
433,24.31,90.00,99.41,64.08,8.74,0.00,3.40,13.59,65.83,28.26,16.34,20.00,72.63,8.40,3.88,22.21,1.01,19.73,0.00,0.99
434,6.55,0.00,23.05,12.05,3.29,0.00,0.00,5.58,25.24,26.20,5.75,0.00,11.42,2.45,1.61,1.44,0.00,7.47,0.00,5.66
445,17.65,0.00,175.92,128.90,0.00,34.80,560.84,102.19,100.46,335.72,22.57,0.00,31.76,17.30,0.00,76.90,3.00,0.00,0.00,0.00
447,11.42,0.00,27.45,22.37,0.00,1.10,23.89,27.24,19.69,53.74,51.68,0.00,13.73,0.00,0.00,1.55,1.27,0.00,0.00,2.08
459,20.41,0.00,75.55,102.03,0.00,0.00,0.00,12.40,34.94,48.65,23.63,0.00,38.47,1.80,2.34,0.00,0.00,10.68,0.00,0.89
474,12.94,20.00,16.50,59.48,5.02,23.77,109.37,23.90,17.86,8.13,18.49,3.00,18.48,5.99,0.00,90.95,2.53,4.11,0.00,2.18
475,33.08,0.00,47.28,144.11,2.45,22.49,11.02,73.07,226.26,157.41,21.09,0.00,19.23,0.00,0.00,23.96,6.80,3.63,0.00,15.39
496,23.29,0.00,52.94,34.39,0.00,0.00,0.00,12.19,122.30,72.93,15.24,0.00,29.93,3.34,0.00,32.11,0.84,7.32,0.00,2.97
498,17.52,40.00,81.97,159.37,0.00,0.00,106.01,31.05,56.37,168.58,57.76,0.00,44.21,14.80,0.00,21.66,5.10,23.82,0.00,0.00
507,5.47,0.00,22.99,19.15,0.00,0.00,84.79,11.13,51.19,37.15,10.15,0.00,10.14,3.45,6.80,23.40,26.14,1.60,0.00,6.52
510,24.01,0.00,34.26,104.33,3.79,0.00,38.05,3.00,39.96,56.95,13.89,0.00,14.00,3.25,1.06,4.70,0.00,8.20,0.00,23.51
515,0.85,0.00,61.28,4.98,0.00,0.00,44.64,0.00,8.06,6.07,0.00,0.00,1.99,0.00,1.69,8.00,0.00,12.55,0.00,0.99
521,18.47,0.00,77.10,172.19,0.00,0.00,0.00,12.18,35.63,38.81,2.96,0.00,1.29,10.07,0.00,0.00,3.59,4.18,0.00,7.64
523,8.88,0.00,30.25,44.57,0.00,0.00,83.33,15.50,42.02,9.40,39.07,0.00,15.10,2.99,0.00,1.64,0.00,16.51,0.00,9.42
535,57.99,0.00,83.85,95.25,0.00,19.45,8.50,79.11,127.04,191.80,43.86,0.00,68.79,5.59,0.00,17.48,0.00,17.83,0.00,0.00
538,8.17,0.00,20.31,83.94,0.00,0.00,18.36,18.69,85.75,107.02,13.09,0.00,35.63,0.52,3.95,15.75,7.78,2.08,0.00,56.67
540,7.92,19.00,92.66,19.96,20.92,0.00,1.92,9.81,22.95,42.88,41.07,1.00,0.00,3.98,0.00,4.79,11.05,14.55,0.00,4.82
541,3.64,0.00,7.26,3.77,0.00,0.00,0.00,8.46,75.98,70.10,8.58,0.00,48.61,1.40,0.00,9.19,15.00,0.76,0.00,2.38
542,1.75,0.00,14.27,24.34,0.00,0.00,27.87,7.41,62.66,59.71,62.62,0.00,59.90,2.97,0.00,5.56,8.90,6.20,0.00,0.65
550,13.92,85.00,74.53,52.77,0.00,0.00,0.00,43.07,36.09,33.59,29.02,0.00,11.36,0.00,0.00,16.00,0.00,2.60,0.00,8.40
559,13.10,0.00,177.65,139.60,51.25,0.00,0.00,38.37,41.69,24.90,32.11,6.00,0.00,8.68,0.00,9.26,4.65,103.62,0.00,1.78
562,6.32,0.00,71.34,30.61,3.90,0.00,33.14,30.42,98.22,44.67,19.54,0.00,15.85,5.80,0.00,0.00,0.00,11.70,0.00,3.03
571,7.34,0.00,37.17,80.97,0.00,0.00,0.00,4.79,64.05,39.63,16.44,0.00,2.49,1.60,0.00,3.38,0.00,7.72,0.00,0.00
572,46.66,0.00,55.21,33.85,11.89,1.98,0.00,12.39,43.62,25.66,5.51,12.00,1.19,17.90,0.00,1.20,12.08,4.67,351.57,4.55
579,7.65,0.00,30.92,65.04,23.29,0.00,886.01,61.33,45.39,95.94,19.56,0.00,56.60,6.03,0.00,9.43,51.08,0.84,0.00,0.00
584,8.33,45.00,77.37,39.53,0.00,0.00,0.00,23.26,213.19,98.68,67.08,0.00,70.03,4.75,0.00,15.74,0.00,9.50,0.00,13.14
588,24.46,0.00,121.57,156.41,0.00,0.00,83.99,29.75,172.94,155.21,88.29,0.00,83.78,5.59,0.00,13.09,0.00,5.97,0.00,0.89
589,114.69,0.00,319.93,453.81,13.60,0.00,161.12,58.95,570.39,131.18,11.16,0.00,410.28,0.00,0.00,56.32,0.00,5.68,0.00,32.31
594,36.31,0.00,270.50,361.31,8.59,0.00,44.39,39.67,255.02,109.36,96.42,0.00,2.89,11.94,0.00,1.98,11.85,3.29,0.00,1.49
611,22.34,0.00,27.06,115.41,30.51,0.00,0.00,6.64,99.26,39.80,11.42,0.00,18.44,2.15,0.00,0.00,0.00,6.98,0.00,0.00
616,25.27,95.00,176.17,112.20,0.00,0.00,14.88,22.51,2.44,29.74,6.93,0.00,0.00,11.32,0.00,24.72,1.27,19.53,0.00,0.00
618,14.06,0.00,112.95,102.94,5.43,0.00,64.93,35.95,89.38,48.80,62.75,0.00,74.84,24.26,8.50,10.81,28.27,38.74,0.00,2.07
620,9.03,229.00,41.25,71.68,0.00,0.00,36.32,14.83,38.95,33.86,4.26,28.00,4.86,11.59,1.27,7.96,0.00,3.55,0.00,1.96
635,21.80,0.00,81.53,184.69,0.00,0.00,7.65,6.80,112.60,83.75,133.96,0.00,6.18,37.09,5.60,10.13,3.38,4.44,0.00,12.10
646,3.90,16.52,33.54,51.56,0.00,0.00,0.00,23.96,17.68,24.58,8.44,0.00,8.49,3.15,4.07,23.65,0.00,8.63,0.00,8.94
647,4.50,0.00,28.76,76.79,0.00,0.00,6.46,21.11,18.01,30.11,86.84,0.00,13.22,6.95,19.34,10.62,0.00,11.03,0.00,1.78
649,1.58,0.00,17.47,25.07,0.00,0.00,15.64,4.74,39.74,40.30,1.95,0.00,9.19,8.25,0.00,2.19,0.00,5.81,0.00,0.79
652,3.97,0.00,86.20,92.02,8.42,0.00,0.00,16.10,57.15,58.28,16.37,0.00,1.19,0.00,0.00,1.09,10.12,0.00,0.00,2.16
655,2.94,10.00,52.76,157.20,2.99,0.00,45.59,7.56,156.50,76.42,44.75,0.00,38.41,13.60,0.00,7.02,21.34,19.34,0.00,3.16
657,8.93,246.54,64.89,46.20,2.50,0.00,56.31,29.63,61.63,26.11,6.68,0.00,30.93,22.74,0.00,23.45,7.51,0.45,0.00,0.99
662,14.56,30.00,89.07,63.61,0.94,0.00,0.00,41.01,92.19,117.30,200.56,0.00,27.81,9.65,4.24,21.02,0.84,3.70,0.00,4.16
667,6.71,10.00,25.33,64.87,7.62,11.62,0.00,12.40,74.12,43.88,38.59,0.00,11.98,0.35,2.12,0.59,21.64,3.92,210.18,0.00
669,8.89,0.00,6.53,19.23,0.00,0.00,178.57,2.28,14.69,4.82,34.00,14.50,13.49,9.10,1.66,2.12,2.97,22.63,13.34,0.00
674,6.49,0.00,46.33,71.34,2.10,0.00,0.00,20.14,32.74,50.04,11.74,0.00,0.00,3.60,0.00,5.58,0.00,19.84,0.00,3.23
687,0.00,0.00,17.68,40.34,7.55,0.00,33.65,7.75,70.75,63.71,15.29,0.00,11.16,2.20,3.40,24.55,0.00,6.27,0.00,2.48
697,41.08,0.00,59.03,134.05,10.44,0.00,0.00,48.98,79.67,127.38,25.76,0.00,92.08,1.52,0.00,17.85,0.00,5.94,0.00,6.43
704,45.99,40.00,134.42,155.34,1.60,0.00,0.00,61.18,162.31,158.65,99.83,0.00,23.20,11.14,8.49,17.27,16.26,16.90,0.00,0.89
711,47.27,0.00,376.56,401.75,5.80,0.00,0.00,129.05,254.96,70.94,87.87,8.00,78.78,8.09,0.00,6.23,0.00,4.17,0.00,15.16
712,9.45,0.00,28.83,36.62,0.00,0.00,6.62,8.81,3.13,10.05,9.33,0.00,15.00,0.85,0.00,10.54,13.03,7.70,0.00,7.03
717,14.16,0.00,29.85,48.69,16.06,1.10,10.20,5.99,39.09,41.35,14.79,0.00,5.18,3.50,0.00,14.88,2.51,1.29,0.00,1.78
724,8.22,0.00,110.84,86.23,0.00,0.00,11.47,19.30,81.94,22.35,22.41,11.00,15.43,15.35,0.00,42.42,4.26,3.56,0.00,37.72
725,0.89,0.00,1.50,27.72,0.00,0.00,598.42,4.38,69.28,35.69,15.20,0.00,78.48,1.04,0.00,32.17,78.28,0.55,0.00,0.00
732,11.57,25.00,83.93,50.56,0.00,0.00,1.52,41.56,58.08,14.75,45.62,9.50,2.99,10.78,0.00,1.58,0.84,2.68,0.00,3.27
734,62.42,0.00,112.00,76.40,0.00,0.00,156.62,8.70,113.89,94.02,28.24,0.00,61.54,17.90,0.00,32.75,16.15,2.67,0.00,0.98
735,23.95,0.00,69.78,66.82,0.00,0.00,19.91,6.69,124.87,61.29,28.37,0.00,9.18,4.35,0.00,30.41,5.47,10.39,0.00,5.61
737,29.09,217.52,42.49,31.47,0.00,0.00,108.61,36.44,20.29,94.79,52.35,0.00,6.97,4.20,0.00,22.41,0.00,3.58,0.00,0.00
746,14.15,11.00,45.94,48.32,4.21,0.00,124.42,12.69,23.21,24.15,9.29,0.00,8.13,8.72,0.00,7.98,9.50,19.31,0.00,3.35
752,12.23,0.00,52.47,105.06,1.90,0.00,11.05,13.98,74.26,143.49,35.13,2.00,26.65,20.56,0.00,11.97,0.00,15.41,0.00,27.38
755,6.66,0.00,3.69,7.33,0.00,0.00,0.00,17.20,5.14,8.21,7.07,0.00,12.33,3.99,0.00,8.17,0.00,0.84,0.00,0.00
759,21.15,0.00,15.37,60.53,0.00,0.00,0.00,6.99,11.74,44.79,12.64,0.00,12.50,1.10,4.26,6.17,0.00,0.00,0.00,0.00
770,19.97,0.00,32.43,97.84,0.00,11.34,6.10,15.36,92.88,38.63,11.42,0.00,10.40,1.80,0.00,7.86,0.00,14.98,0.00,0.00
777,2.54,0.00,4.94,9.43,0.00,0.00,23.62,9.13,2.38,9.66,10.58,0.00,9.98,3.08,2.29,1.78,15.10,5.93,0.00,0.00
786,6.15,0.00,19.79,54.38,0.00,0.00,106.45,24.28,68.80,40.49,6.77,12.00,3.49,2.80,0.00,3.27,0.00,1.44,0.00,0.98
787,10.66,0.00,165.68,155.39,0.00,0.00,0.00,102.00,436.02,58.41,48.78,0.00,85.48,42.07,0.00,6.93,1.01,6.53,0.00,0.00
788,18.26,0.00,31.81,39.60,0.00,0.00,0.00,12.66,33.06,28.10,22.25,0.00,7.70,5.87,8.90,5.97,1.27,3.25,0.00,8.31
792,20.87,88.20,43.51,79.20,4.26,0.00,3.82,1.99,78.00,54.69,3.13,32.00,41.48,2.91,0.00,46.20,0.00,0.63,110.03,2.67
795,18.29,32.00,37.18,43.48,0.00,0.00,0.00,0.00,6.85,39.06,2.19,0.00,2.99,0.55,0.00,7.19,0.00,11.64,0.00,1.59
808,8.68,0.00,37.44,41.57,0.00,0.00,0.00,5.56,156.71,97.43,3.10,0.00,14.13,4.20,0.00,18.28,0.00,1.10,0.00,0.00
825,6.34,0.00,3.19,44.94,0.00,0.00,0.00,46.90,52.15,19.61,2.87,0.00,11.78,2.30,0.00,0.00,0.00,13.14,0.00,0.00
827,4.98,0.00,66.37,37.64,6.40,0.00,0.00,5.54,61.10,103.34,61.66,0.00,3.88,1.70,0.00,1.09,0.00,3.97,0.00,1.55
828,19.46,0.00,83.73,76.88,7.64,0.00,3.14,26.96,88.75,86.81,69.33,0.00,0.00,41.04,1.95,44.32,1.23,5.98,0.00,2.80
832,4.96,10.00,54.47,196.23,0.00,0.00,0.00,33.44,124.29,214.79,23.39,0.00,5.86,9.39,0.00,3.07,0.00,7.44,0.00,40.74
838,13.58,5.00,83.39,134.22,0.00,0.00,29.49,23.55,168.38,74.29,14.93,12.00,28.12,3.00,0.00,12.33,1.10,9.33,0.00,0.00
846,20.05,300.00,90.22,156.69,1.69,0.00,37.94,21.92,79.69,36.03,40.27,0.00,30.72,18.71,5.94,36.06,0.00,0.00,0.00,1.56
848,17.68,0.00,31.15,57.34,7.19,0.00,4.92,27.53,142.65,75.62,25.74,0.00,30.15,0.80,3.38,1.75,2.55,3.26,0.00,0.00
850,27.91,0.00,19.38,80.07,0.00,0.00,0.00,3.95,30.33,11.22,7.08,0.00,13.45,3.20,0.00,24.22,0.00,2.56,0.00,7.31
